Exhibitor;Country;Contact Link;Technologies
Aqana;Netherlands;https://aqana.com/contact-us/;Downflow Anaerobic Carrier System
Aquapeak B.V.;Netherlands;https://aquapeak.nl/contact-opnemen;Unspecified Filters
Aqua-Techniek B.V.;Netherlands;https://www.aqua-techniek.com/contact/;"Inert Filtermedia for filtration of suspended solids;Filtermedia for catalyc iron-and manganese removal;De-Acidification, reminderalisation and PH increase of Water;Inorganic filtermedia for ionexchange and adsorption;Seeding material for crystallisation softening proces"
Azzuro BV;Netherlands;https://azzuro.com/emission_solutions_support/;"Chemical Scrubbers;Thermal Oxidizers;Carbon Filters"
Colsen;Netherlands;https://www.colsen.nl/en/contact;"Nitrogen removal;P-recovery with struvite;Anaerobic water treatment"
Colubris Cleantech B.V.;Netherlands;https://www.colubriscleantech.com/int/contact-en;"Screens;Flocculator;Dosing Systems;Polymer preparation units;Dissolved air flotation units;Lamella Settlers;Aerobic Biological Treatment;Effluent polishing equipment;Sludge discharge and dewatering equipment;Electrical control equipment"
EMI Twente B.V.;Netherlands;https://www.emi-twente.nl/contact/;"Hollow fiber spinlines;Electrodialysis cells;Filtration Systems"
Entec International BV;Netherlands;https://entec-international.com/wastewater-treatment/;"Flow makers;Aerators;Static mixers;Dynamic mixers"
Ferr-Tech;Netherlands;https://ferr-tech.com/en/test-fersol-on-your-wastewater/;Ferrate (VI)
Holland Sensor;Netherlands;https://hollandsensor.com/get-in-touch/;"Inductively coupled plasma mass spectrometry;Electronic sensors;Atomic absorption sepctroscopy"
Jotem Water Solutions;Netherlands;https://www.jotem.nl/en/contact;"BODAC;Delta water softeners;Reverse Osmosis"
Lenntech B.V.;Netherlands;https://www.lenntech.com/feedback/feedback_uk.htm?ref_title=Home;"Ozonation;Advanced oxidation;Reverse Osmosis;Ion Exchange;Activated carbon adsorption"
Liquid Filtration Systems B.V.;Netherlands;https://www.lfs-filters.nl/#contact;"Candel Filters;Bag filters and Strainers;High Flow;Specials;Stainless steel filter housings"
Logisticon Water Treatment b.v.;Netherlands;https://www.logisticon.com/en/contact-us/;"Discontinue filtration;Bag Filter;Dissolved air flotation (DAF);Settling tank dortmund tank;Physical chemical containers"
Nijhuis Saur Industries;Netherlands;https://www.nijhuisindustries.com/contact;"Dissolved air flotation (DAF);Granular Activated Carbon filtration;Fluized Activated Carbon;Ion Exchange;Membrane solutions;Vacuum foam fractionation;Electrochemical Destruction;Supercritical water oxidation;Reverse Osmosis;Testing ACF"
NORIT Activated Carbon;Netherlands;https://norit.com/contact?hsCtaTracking=a3794d8b-3794-46b2-a509-e1e8f74cebdd%7Cb8e2272f-b62a-4c78-8271-e1467f197f99;"NORIT (Granular activated Carbons);Hydrodarco"
NX Filtration;Netherlands;https://nxfiltration.com/contact/;HFNF (Hollow fiber nanofiltration membranes)
Oxyle;Netherlands;https://oxyle.com/contact;Oxyle own technology
Weaver Labs;USA;https://weaver-labs.com/#OurTechnology;Fluor-Mop